graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
erdos-renyi,35,16,59.0,0.020164046479835954,1.008544087491456,10,10,"[T9 W: 0, T23 W: 11.0, T2 W: 16.0, T22 W: 0]",0.45
erdos-renyi,35,16,73.0,0.0255781359495445,1.0252277505255782,10,10,"[T2 W: 0, T19 W: 10.0, T25 W: 4.0, T34 W: 13.0, T27 W: 0]",0.45
erdos-renyi,35,9,28.0,0.0220125786163522,0.9897798742138365,16,16,"[T20 W: 0, T13 W: 16.0, T34 W: 0]",0.25
erdos-renyi,35,9,26.0,0.016029593094944512,0.8335388409371147,16,16,"[T0 W: 0, T9 W: 9.0, T10 W: 0]",0.25
erdos-renyi,35,9,25.0,0.015625,0.775,16,16,"[T4 W: 0, T8 W: 17.0, T5 W: 0]",0.25
erdos-renyi,35,9,24.0,0.015364916773367477,0.8809218950064021,16,16,"[T3 W: 0, T9 W: 9.0, T26 W: 0]",0.25
erdos-renyi,35,9,28.0,0.02023121387283237,0.8063583815028902,16,16,"[T6 W: 0, T25 W: 16.0, T16 W: 0]",0.25
erdos-renyi,35,12,28.0,0.014014014014014014,1.0635635635635636,16,16,"[T5 W: 0, T13 W: 12.0, T31 W: 0]",0.33
erdos-renyi,35,12,33.0,0.014102564102564103,0.926923076923077,16,16,"[T9 W: 0, T31 W: 16.0, T27 W: 0]",0.33
erdos-renyi,35,12,32.0,0.01694915254237288,0.9136652542372882,16,16,"[T13 W: 0, T10 W: 16.0, T34 W: 0]",0.33
erdos-renyi,35,12,27.0,0.012096774193548387,0.842741935483871,16,16,"[T27 W: 0, T17 W: 10.0, T30 W: 0]",0.33
erdos-renyi,35,12,27.0,0.01347305389221557,0.9535928143712575,16,16,"[T8 W: 0, T0 W: 9.0, T9 W: 0]",0.33
erdos-renyi,35,16,29.0,0.011249030256012413,0.9387121799844841,16,16,"[T7 W: 0, T22 W: 17.0, T14 W: 0]",0.45
erdos-renyi,35,16,29.0,0.010461760461760462,0.9978354978354979,16,16,"[T12 W: 0, T29 W: 13.0, T14 W: 0]",0.45
erdos-renyi,35,16,32.0,0.01194921583271098,0.9077669902912622,16,16,"[T0 W: 0, T19 W: 14.0, T15 W: 0]",0.45
